TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFGD_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
Gonzaga,WCC,32,28,120.3,89.9,0.9662,58.7,43.1,15.7,16.3,29.1,23.4,30.6,22.7,60.4,41.8,37,30.5,72.6,6.7,S16,1
Kansas,B12,40,34,119.8,91.3,0.958,53.8,45.8,17.3,18.1,32.9,28.6,32.3,27.7,53.6,46.4,36.1,29.8,69.1,10.4,Champions,1
Baylor,B12,34,27,117.8,91.3,0.9491,52.8,47.8,17.9,22.9,36.3,28.8,29,27.7,53.6,49.2,34.3,30.2,67.6,8.9,R32,1
Arizona,P12,37,33,118,93.7,0.9341,55.6,44.4,18.3,17.4,34.7,28.6,34.9,24,57,41.8,35.3,32.8,72.3,8.8,S16,1
Duke,ACC,39,32,122.7,96,0.944,55.6,47.1,15,15.7,31.7,28.9,28.6,19.1,56,46.6,36.6,32,67.4,7.2,F4,2
Villanova,BE,38,30,117.2,93,0.9346,51.5,47.3,15.5,18.4,31.2,28.9,29.8,25,49.5,48.1,35.9,30.8,62.2,7.3,F4,2
Kentucky,SEC,34,26,119.4,95.4,0.9295,53.1,46.9,16.7,17.5,37.7,24.9,28,25.4,53.5,47.3,34.7,30.8,67.8,6.9,R64,2
Auburn,SEC,34,28,111.7,90,0.9228,49.9,44.1,16.7,20,33.7,28.9,31.6,34.2,51.3,42.8,31.8,31,70,7.4,R32,2
Texas Tech,B12,37,27,110.5,85.4,0.9509,52.6,45.8,19.8,23.2,33.2,25.8,35.1,31.9,54.9,44.5,32.1,31.5,66.3,6.6,S16,3
Tennessee,SEC,35,27,111.3,87.1,0.9439,50.7,46.4,17.7,22.9,32.4,27.2,29,31.5,48.5,46,35.9,31.3,67.4,8,R32,3
Purdue,B10,37,29,121.6,97.5,0.9267,56.5,49.1,17.5,14,35.2,23.8,38.2,21.6,55.8,48.6,38.4,33.2,66,7,S16,3
Wisconsin,B10,33,25,108.7,93.4,0.8511,47.7,49,13,17,25.9,24.4,32.4,27.2,48.7,49,30.7,32.5,66.4,6.5,R32,3
UCLA,P12,35,27,115.8,92.2,0.9321,50.6,47.6,13.2,19.4,31.3,25.3,29.5,28.3,49.5,47.3,35.4,32.1,65.4,5.1,S16,4
Illinois,B10,33,23,111.9,93,0.8943,52.5,46,18.1,15.5,33.1,26.6,32,28.2,51.4,45.2,35.9,31.9,67.1,4.2,R32,4
Arkansas,SEC,37,28,108.7,90.7,0.8894,48.6,47.5,16.9,20.5,29.6,25.3,37.2,31.9,50.1,46.8,30.4,32.4,70.6,4.5,E8,4
Providence,BE,33,27,111.4,95.5,0.8554,50,46.3,17,15.6,30.3,27.4,37,27,49,47.1,34.4,30,65.3,5.9,S16,4
Houston,Amer,38,32,116.5,88.5,0.9595,53.1,43.3,16.9,21.7,37.7,28,29,34.7,54.5,43.4,33.8,28.8,63.7,6.2,E8,5
Iowa,B10,36,26,121.1,97.2,0.9265,53.3,49.7,13,19.2,32.3,30,30,26.3,52.5,49.9,36.3,32.9,69.8,4.5,R64,5
Saint Mary's,WCC,33,26,109.8,90.5,0.9024,52.7,48.3,17,19.2,27.4,21.7,23.3,25.1,52.5,47,35.5,34.3,63.7,3.9,R32,5
Connecticut,BE,33,23,113.2,95.9,0.8709,49.6,46,17.3,18,37.9,27.6,30.5,31.7,48,42.6,35.2,35.3,65,3.1,R64,5
Texas,B12,34,22,112.5,91.5,0.9152,50.1,47,17.8,23,31.6,29.8,32,39,50.5,46.6,33,31.8,63.5,3.4,R32,6
LSU,SEC,34,22,106.3,89.6,0.8766,49.4,45.1,20.7,25.1,33.8,30.9,33.4,37.8,50.4,47.6,31.6,28.2,68.7,2.3,R64,6
Alabama,SEC,33,19,115.2,98.3,0.8612,51.3,49.8,19.8,17.9,35.3,30.5,32.9,34.8,55.9,49.3,30.9,33.8,71.8,2,R64,6
Colorado St.,MWC,30,25,111.9,98.1,0.819,54.8,50.1,15.2,18.5,21.9,25,29.6,25.6,55.7,51,35.6,32.7,65.6,4.3,R64,6
Ohio St.,B10,32,20,115.5,98.5,0.8612,54.3,47.6,17.1,15.5,29.3,28.7,33.4,29.1,54,45.8,36.5,33.8,65.1,1.3,R32,7
Michigan St.,B10,36,23,111.6,96.6,0.8405,52,48.1,18.8,15.3,30.7,27.1,29.9,28.3,49.6,48.5,37.8,31.6,67.6,2.9,R32,7
Murray St.,OVC,31,31,110,96.2,0.8241,52.6,48.1,17.1,20.4,35.3,25.7,32.4,26,53.2,50.5,34.5,29.7,66,3.5,R32,7
USC,P12,34,26,108.6,96.2,0.8021,51.2,44.7,17.9,14.4,33.5,26.7,30.9,26.8,50.1,42,35.7,33.2,66.2,4.1,R64,7
North Carolina,ACC,39,29,114.4,93.5,0.9113,51.5,48.6,16.4,13.6,31.9,21.6,30.3,21.4,50.1,47.5,35.8,33.7,70.1,4.3,2ND,8
San Diego St.,MWC,32,23,102.4,86.9,0.8675,48.7,44.1,19.3,21.9,29.5,27.3,31.1,31,46.7,43.5,35.4,30,65.3,2.6,R64,8
Boise St.,MWC,34,27,107.6,92.9,0.8434,50.7,48.3,18.4,20.2,30.6,22.4,35.2,25.9,50.6,48,34,32.6,64.5,3.5,R64,8
Seton Hall,BE,31,21,105.4,93.4,0.8,47.2,45.6,17.7,18.5,32.3,29.1,30.5,27.8,45.8,45.1,33.2,31.1,67.6,1.9,R64,8
Memphis,Amer,33,22,112.4,92.6,0.9028,52.3,46.6,22.5,20.4,37.4,30.9,37.8,33.2,51.9,45.5,35.5,32,70,1.4,R32,9
TCU,B12,34,21,108.6,92.1,0.8698,48.7,47.4,21.4,18.6,37.7,26.1,31.4,26.9,50.3,48,30.2,30.9,65.9,2.9,R32,9
